GeneID,Chromosome,Peak_Start,Peak_End,Strand,,
Prorsd1,chr11,29414774,29415460,+,,
Med13,chr11,86171370,86172154,+,,
Gm13022,chr4,132357264,132358521,+,,
Gm12089,chr11,29414774,29415460,+,,
Carhsp1,chr16,8673741,8674655,+,,
Rere,chr4,149930431,149931492,+,,
Nr6a1,chr2,38778341,38781138,+,,
Lrrc16a,chr13,24322230,24323703,+,,
Lmo4,chr3,143690255,143691149,+,,
Rreb1,chr13,37744353,37745032,+,,
Sik1,chr17,31926064,31926756,+,,
Gm2348,chr15,8519063,8519972,+,,
Timm8a2,chr14,122461845,122462419,+,,
Rlf,chr4,120868796,120869528,+,,
Ctsz,chr2,174261194,174265343,+,,
Baz1a,chr12,56120300,56120698,+,,
Ube2b,chr11,51816597,51818282,+,,
snoU89,chr6,124661378,124662416,+,,
Snord19,chr14,31832106,31832327,+,,
Prdm14,chr1,13115268,13117658,+,,
Pomp,chr5,148671687,148672712,+,,
Pias2,chr18,77303116,77303816,+,,
Phb2,chr6,124661378,124662416,+,,
Pbrm1,chr14,31832106,31832327,+,,
Mthfd1l,chr10,6373278,6373739,+,,
Kcnh4,chr11,100620299,100620496,+,,
Jak1,chr4,100937318,100937947,+,,
Hmgxb3,chr18,61336017,61337072,+,,
Gnl3,chr14,31832106,31832327,+,,
Fam38a,chr8,125073968,125075771,+,,
Ern1,chr11,106347107,106348718,+,,
Emg1,chr6,124661378,124662416,+,,
Cdkl3,chr11,51816597,51818282,+,,
Calr3,chr8,74967543,74968061,+,,
1700030K09Rik,chr8,74967543,74968061,+,,
Zfp217,chr2,169954357,169955885,+,,
St8sia4,chr1,97521001,97521793,+,,
Slc29a3,chr10,60207212,60207984,+,,
Itpr2,chr6,146061152,146062096,+,,
Gm20388,chr8,125073968,125075771,+,,
Gm16953,chr11,51816597,51818282,+,,
F830045P16Rik,chr2,129315379,129315769,+,,
Dym,chr18,75446249,75447352,+,,
Arhgef3,chr14,28148375,28148962,+,,
Cxxc5,chr18,36047705,36049832,+,,
Slc16a10,chr10,39884954,39885018,+,,
Gm14469,chr2,78896136,78896564,+,,
BC020535,chr2,152910139,152910319,+,,
Thumpd3,chr6,112995595,112996939,+,,
Cd52,chr4,133648285,133651391,+,,
Ptp4a3,chr15,73578242,73580078,+,,
Per1,chr11,68910333,68912502,+,,
Aim1l,chr4,133648285,133651391,+,,
U6,chr8,124353409,124353848,+,,
Lrch4,chr5,138069041,138071646,+,,
Klhdc4,chr8,124353409,124353848,+,,
Fbxo24,chr5,138069041,138071646,+,,
Gm20388,chr8,123238968,123239503,+,,
Gm20388,chr8,124353409,124353848,+,,
Wdr8,chr4,153514266,153516617,+,,
U4,chr17,37406636,37408085,+,,
Trp73,chr4,153514266,153516617,+,,
Plk3,chr4,116806656,116807067,+,,
Med31,chr11,72028366,72029213,+,,
H2-M3,chr17,37406636,37408085,+,,
Edc3,chr9,57555973,57556564,+,,
E230001N04Rik,chr17,28659603,28662683,+,,
Dhx15,chr5,52580968,52582312,+,,
Bend3,chr10,43197986,43200263,+,,
9230114K14Rik,chr5,52580968,52582312,+,,
4930563E22Rik,chr11,72028366,72029213,+,,
Ptprj,chr2,90387169,90387784,+,,
Ptch1,chr13,63664294,63666702,+,,
Man1a,chr10,53759974,53760942,+,,
Lcp1,chr14,75547614,75547838,+,,
Slc22a28,chr19,8093568,8093978,+,,
Gm14453,chr2,172886945,172887725,+,,
Mnd1,chr3,83869279,83870252,+,,
Chaf1b,chr16,93912087,93913449,+,,
Gm5228,chr17,48078866,48080671,+,,
Cotl1,chr8,122330591,122331281,+,,
U4,chr16,91354584,91355814,+,,
Blcap,chr2,157391828,157392614,+,,
Rnf126,chr10,79229676,79229815,+,,
Clk1,chr1,58479600,58481112,+,,
Zbtb5,chr4,45024310,45026341,+,,
Wdhd1,chr14,47895702,47897397,+,,
Vps36,chr8,23302987,23303743,+,,
Socs4,chr14,47895702,47897397,+,,
Slc25a39,chr11,102269038,102270053,+,,
Grlf1,chr7,17200019,17200854,+,,
Cnn3,chr3,121129543,121130273,+,,
Barhl2,chr5,106885514,106886994,+,,
1700055D18Rik,chr4,45024310,45026341,+,,
Socs2,chr10,94851697,94852217,+,,
Ptprc,chr1,140041815,140042242,+,,
Nr4a2,chr2,56968760,56969282,+,,
Nek7,chr1,140455982,140457065,+,,
Irf2bp2,chr8,129111980,129112538,+,,
Gm16983,chr8,129111980,129112538,+,,
Bcl11a,chr11,24040038,24041954,+,,
Ankrd33b,chr15,31262647,31262889,+,,
Tnfrsf14,chr4,154317761,154318638,+,,
Psmb9,chr17,34309429,34309908,+,,
Mrpl17,chr7,112958682,112959729,+,,
Cdkn1b,chr6,134869658,134872499,+,,
Gm15645,chr7,112958682,112959729,+,,
Cmtm8,chr9,114720301,114721392,+,,
Gm10797,chr10,67061170,67062510,+,,
Stk10,chr11,32464650,32465551,+,,
Nr2c2,chr6,92041760,92042299,+,,
B9d2,chr7,26464912,26466054,+,,
Itgam,chr7,135262321,135263301,+,,
Vegfa,chr17,46169245,46169421,+,,
Timeless,chr10,127668454,127669057,+,,
Stk11,chr10,79577940,79578861,+,,
Sms,chrX,153929268,153929445,+,,
Slc25a23,chr17,57199263,57200024,+,,
Raxos1,chr18,66095970,66097731,+,,
Nfkbid,chr7,31204264,31206021,+,,
Hcst,chr7,31204264,31206021,+,,
Gm17292,chr10,127668454,127669057,+,,
Far1,chr7,120656630,120658605,+,,
Fam161b,chr12,85702435,85703392,+,,
Dsn1,chr2,156831845,156833044,+,,
Denr,chr5,124356329,124357809,+,,
Crb3,chr17,57199263,57200024,+,,
Coq6,chr12,85702435,85703392,+,,
Cep350,chr1,157819319,157819750,+,,
Abhd16b,chr2,181226819,181227191,+,,
Aasdh,chr5,77334381,77334559,+,,
Sgms1,chr19,32255750,32256128,+,,
Rax,chr18,66095970,66097731,+,,
Mip,chr10,127668454,127669057,+,,
Gm11648,chr11,103207628,103208282,+,,
Arhgap27,chr11,103207628,103208282,+,,
Akna,chr4,63050037,63051072,+,,
4933437N03Rik,chr4,63050037,63051072,+,,
2900026A02Rik,chr5,113543285,113543700,+,,
Pdhx,chr2,102821305,102821976,+,,
AL683882.1,chr2,93002901,93003205,+,,
Nr4a1,chr15,101079593,101080123,+,,
Usf1,chr1,173340821,173341578,+,,
E130102H24Rik,chr4,101028197,101030376,+,,
0610043K17Rik,chr4,101028197,101030376,+,,
Tgfbr2,chr9,116249441,116250485,+,,
Ddx6,chr9,44380642,44382442,+,,
Litaf,chr16,10975927,10977340,+,,
Wdr81,chr11,75269937,75270335,+,,
Vav1,chr17,57415291,57415689,+,,
Snord35b,chr7,52378689,52381031,+,,
Rps11,chr7,52378689,52381031,+,,
Rnf213,chr11,119250794,119252047,+,,
Mir1932,chr11,119250794,119252047,+,,
Foxd2,chr4,114579031,114580972,+,,
Dpy19l3,chr7,36538755,36540210,+,,
Clock,chr5,76733508,76733917,+,,
Ap1b1,chr11,4886903,4887206,+,,
Aff1,chr5,104120412,104121271,+,,
9130206I24Rik,chr4,114579031,114580972,+,,
Rpl13a,chr7,52378689,52381031,+,,
Rnf216,chr5,143799832,143801169,+,,
Prr14,chr7,134614389,134614547,+,,
Padi2,chr4,140500203,140501473,+,,
Mllt10,chr2,17984759,17986241,+,,
Med29,chr7,29171432,29171835,+,,
Lrrfip1,chr1,92958194,92959449,+,,
Il2ra,chr2,11576134,11576719,+,,
Cass4,chr2,172230646,172230879,+,,
Akna,chr4,63059879,63060937,+,,
Gm5432,chr12,15977957,15979012,+,,
Slc38a2,chr15,96585761,96586042,+,,
7SK,chr3,19232569,19232799,+,,
Vps11,chr9,44169381,44170148,+,,
Pot1a,chr6,25759279,25759367,+,,
7SK,chr9,44169381,44170148,+,,
Elf4,chrX,45786680,45786915,+,,
Ube2h,chr6,30176869,30177590,+,,
Flt3,chr5,148174369,148175178,+,,
Atpaf2,chr11,60230358,60231252,+,,
4933439F18Rik,chr11,60230358,60231252,+,,
Zdhhc7,chr8,122625255,122625573,+,,
Zc3h7b,chr15,81575788,81576277,+,,
U3,chr11,87256159,87256420,+,,
Trim56,chr5,137592097,137592760,+,,
Gm15556,chr17,48060299,48062759,+,,
Foxp4,chr17,48060299,48062759,+,,
Dem1,chr4,120597567,120598135,+,,
Bcl2,chr1,108609393,108610631,+,,
Tex14,chr11,87256159,87256420,+,,
Skil,chr3,30998640,30999038,+,,
Runx3,chr4,134708609,134710366,+,,
Myo1e,chr9,70105508,70105542,+,,
Gm20388,chr8,122625255,122625573,+,,
Gm16724,chr17,71237245,71238237,+,,
Gm16627,chr17,71237245,71238237,+,,
Gm10804,chr2,93298936,93299287,+,,
Fmnl1,chr11,103038384,103038740,+,,
Cd82,chr2,93298936,93299287,+,,
1700040L02Rik,chr10,67922405,67922774,+,,
Marcks,chr10,36954636,36956393,+,,
Tgfbr2,chr9,116152936,116153130,+,,
Dph5,chr3,115563969,115564367,+,,
Myc,chr15,61822478,61824402,+,,
Stam2,chr2,52600581,52601838,+,,
Gm13548,chr2,52600581,52601838,+,,
Gm5146,chr17,23683358,23685099,+,,
9930022D16Rik,chr11,109274573,109276002,+,,
U6,chr4,132501080,132501668,+,,
Ogdh,chr11,6265511,6266333,+,,
U6,chr2,34768605,34769403,+,,
Tmem168,chr6,13560310,13560899,+,,
Ticam2,chr18,46733616,46734586,+,,
Phf19,chr2,34768605,34769403,+,,
Igkv14-111,chr6,68206467,68206987,+,,
Gm13448,chr2,34768605,34769403,+,,
B230219D22Rik,chr13,55793818,55795190,+,,
1110006G14Rik,chr7,123175208,123176818,+,,
Tmed7,chr18,46733616,46734586,+,,
Sox6,chr7,123175208,123176818,+,,
Rftn1,chr17,50324986,50325241,+,,
Myo1e,chr9,70100783,70101215,+,,
D630024D03Rik,chr11,31721108,31722182,+,,
Ctss,chr3,95344575,95345771,+,,
Arfip1,chr3,84386388,84387015,+,,
Gm10797,chr10,67142905,67144039,+,,
AC109145.1,chr1,197029318,197029764,+,,
Fam105b,chr15,27571101,27571450,+,,
Gm17699,chr1,130662446,130662499,+,,
Fcrla,chr1,172863237,172864100,+,,
Acad9,chr3,35962324,35964974,+,,
Ank,chr15,27525548,27527780,+,,
Pde7b,chr10,20554431,20555798,+,,
Ss18,chr18,14834254,14834809,+,,
Setbp1,chr18,79232297,79233556,+,,
Rnf41,chr10,127875183,127876566,+,,
Pik3ap1,chr19,41446363,41447606,+,,
Sh3kbp1,chrX,156088337,156088870,+,,
Zfp608,chr18,55059875,55060247,+,,
Vipr1,chr9,121584201,121584406,+,,
Gm17591,chr12,81209243,81210360,+,,
Zfp36l1,chr12,81209243,81210360,+,,
Il6st,chr13,113228757,113229039,+,,
Nuak2,chr1,134238391,134239177,+,,
Cd22,chr7,31671658,31673081,+,,
Cd47,chr16,49852804,49859226,+,,
Rusc1,chr3,88891520,88891860,+,,
Vav1,chr17,57424165,57425355,+,,
Slc25a26,chr6,94468261,94468377,+,,
Ano7,chr1,95298330,95298540,+,,
Pip4k2a,chr2,18819679,18819880,+,,
Csnk1g3,chr18,54036106,54037830,+,,
Tle1,chr4,71860784,71864460,+,,
Rmnd5b,chr11,51448920,51450547,+,,
Mir26b,chr1,74436275,74438150,+,,
Ctdsp1,chr1,74436275,74438150,+,,
C630043F03Rik,chr4,71860784,71864460,+,,
Sp100,chr1,87599740,87600766,+,,
Pcnxl3,chr19,5688515,5689704,+,,
Map3k11,chr19,5688515,5689704,+,,
Fam134b,chr15,25760082,25760417,+,,
Ezr,chr17,6985725,6988412,+,,
1100001G20Rik,chr11,83559613,83560201,+,,
Kcnb1,chr2,167014467,167015192,+,,
1110018N20Rik,chr2,167014467,167015192,+,,
Gm12796,chr4,100964583,100966575,+,,
Sh3gl3,chr7,89254103,89254444,+,,
Trmt112,chr19,6984471,6984608,+,,
Prdx5,chr19,6984471,6984608,+,,
Sec11a,chr7,88091855,88093282,+,,
Crk,chr11,75492304,75492928,+,,
Nf1,chr11,79332917,79334339,+,,
Evi2b,chr11,79332917,79334339,+,,
Gm13383,chr2,6176812,6177545,+,,
A230108P19Rik,chr2,6176812,6177545,+,,
Fam49a,chr12,12277402,12277561,+,,
Trps1,chr15,50529119,50530158,+,,
Fasl,chr1,163729013,163730349,+,,
Rsbn1,chr3,103718197,103718471,+,,
Neurl2,chr2,164658156,164659247,+,,
Ctsa,chr2,164658156,164659247,+,,
Crlf2,chr5,109986050,109987427,+,,
Sh3pxd2a,chr19,47405200,47405605,+,,
Ninj2,chr6,120104790,120105196,+,,
Atxn7l1,chr12,33987366,33988282,+,,
Git2,chr5,115223217,115225125,+,,
Ankrd13a,chr5,115223217,115225125,+,,
4930515G01Rik,chr5,115223217,115225125,+,,
Sash1,chr10,8672692,8673040,+,,
Ebf1,chr11,44425457,44426690,+,,
Arl5c,chr11,97857288,97857533,+,,
Rnf157,chr11,116278576,116280544,+,,
Tle4,chr19,14672079,14673275,+,,
A930006K02Rik,chr16,91451697,91452652,+,,
Ttc9c,chr19,8892995,8895532,+,,
Hnrnpul2,chr19,8892995,8895532,+,,
Heg1,chr16,33747445,33747626,+,,
Gm11279,chr13,22008070,22011706,+,,
Pdhx,chr2,102808408,102808777,+,,
D4Ertd22e,chr4,140698095,140698757,+,,
Cd274,chr19,29441546,29442324,+,,
5033414D02Rik,chr19,29441546,29442324,+,,
Vmp1,chr11,86406545,86406932,+,,
Fam169b,chr7,75426870,75428307,+,,
Gm15906,chr4,128807463,128807618,+,,
Gm11291,chr13,22106960,22107835,+,,
Gm11290,chr13,22106960,22107835,+,,
Zfp658,chr7,50817195,50818383,+,,
Txndc16,chr14,45775164,45775635,+,,
Ppp4r1l-ps,chr2,173410493,173412346,+,,
Sik1,chr17,31967117,31968854,+,,
Zfp238,chr1,179373074,179373472,+,,
Gm17407,chr1,179373074,179373472,+,,
Srebf2,chr15,81976398,81979592,+,,
Zfp870,chr17,33032237,33032855,+,,
Trib1,chr15,59559649,59559985,+,,
Tmem93,chr11,72989711,72991047,+,,
Tbc1d13,chr2,29988612,29989558,+,,
Tax1bp3,chr11,72989711,72991047,+,,
Crbn,chr6,106749922,106750251,+,,
Epb4.1l4b,chr4,57036295,57037294,+,,
Cyfip2,chr11,46117305,46118742,+,,
Epb4.1l2,chr10,25080069,25080812,+,,
Atrnl1,chr19,57684372,57685446,+,,
Gpank1,chr17,35257882,35259317,+,,
Csnk2b,chr17,35257882,35259317,+,,
Hey1,chr3,8665206,8666857,+,,
Pou3f2,chr4,22405168,22405340,+,,
H60b,chr10,22015355,22015903,+,,
Gm17580,chr3,96143934,96145502,+,,
Psd4,chr2,24214560,24215647,+,,
Gm17287,chr17,88590141,88590918,+,,
Pebp4,chr14,70230671,70230976,+,,
Itpkb,chr1,182259325,182261267,+,,
Gm5069,chr1,182259325,182261267,+,,
4831426I19Rik,chr12,106251182,106251687,+,,
Necap1,chr6,122822605,122824657,+,,
Parp1,chr1,182517265,182518335,+,,
Bfsp2,chr9,103351236,103351685,+,,
5830418P13Rik,chr9,103351236,103351685,+,,
1100001G20Rik,chr11,83550658,83551807,+,,
Ier5,chr1,156937906,156939044,+,,
Dclre1a,chr19,56605210,56605410,+,,
Tmprss13,chr9,45107039,45109320,+,,
7SK,chr11,100637222,100637406,+,,
C1galt1,chr6,7794233,7794659,+,,
Treml2,chr17,48432879,48434098,+,,
Ezr,chr17,6982073,6984364,+,,
Fli1,chr9,32314002,32318641,+,,
Airn,chr17,12976196,12976348,+,,
Enthd1,chr15,80391620,80391783,+,,
5033414D02Rik,chr19,29438471,29438890,+,,
0610040F04Rik,chr6,108574965,108575159,+,,
Gch1,chr14,47789729,47790221,+,,
Chrac1,chr15,72920467,72921340,+,,
Gm20388,chr8,126477611,126478558,+,,
Abcb10,chr8,126477611,126478558,+,,
Lpin1,chr12,16539035,16539435,+,,
9530052E02Rik,chr8,11111420,11114021,+,,
Gm12679,chr4,44982699,44984100,+,,
Gm12493,chr4,44982699,44984100,+,,
Capsl,chr15,9393136,9394083,+,,
Ube2d1,chr10,70721412,70722007,+,,
Gm19345,chr7,20428996,20430706,+,,
Trio,chr15,27714960,27715312,+,,
Pus1,chr5,111208670,111209872,+,,
Gm17598,chr5,111208670,111209872,+,,
Sirpa,chr2,129421271,129421898,+,,
Jarid2,chr13,44602597,44602700,+,,
Skil,chr3,30982799,30983145,+,,
Gm12596,chr4,59273779,59274324,+,,
Lrrc8d,chr5,106112821,106113372,+,,
1700016C15Rik,chr1,179597535,179597890,+,,
Gm17122,chr5,114291779,114292084,+,,
Psmb9,chr17,34310794,34311397,+,,
Slc38a2,chr15,96575026,96576100,+,,
Alas1,chr9,106131951,106133498,+,,
Prkcb,chr7,129538634,129539392,+,,
SNORA17,chr5,64431693,64432464,+,,
Mef2c,chr13,83203201,83205773,+,,
Mcoln3,chr3,145785783,145786481,+,,
Susd1,chr4,59344297,59344801,+,,
N4bp2l2,chr5,151424125,151424484,+,,
Gm11382,chr13,33026553,33027143,+,,
Taf15,chr11,83286160,83286523,+,,
Stk17b,chr1,53830888,53831133,+,,
A430084P05Rik,chr11,70617408,70617946,+,,
Cd38,chr5,44273109,44275534,+,,
Hspe1,chr1,55143952,55145977,+,,
Hspd1,chr1,55143952,55145977,+,,
Prpf38b,chr3,108703185,108703321,+,,
Eif2c2,chr15,72980950,72981910,+,,
C030034I22Rik,chr17,69766491,69767718,+,,
A930029G22Rik,chr17,69766491,69767718,+,,
Fcer2a,chr8,3694208,3694379,+,,
Rgs19,chr2,181427981,181428862,+,,
Tbck,chr3,132346137,132347201,+,,
Aimp1,chr3,132346137,132347201,+,,
Osgep,chr14,51543750,51545281,+,,
Fnip2,chr3,79372651,79372906,+,,
Apex1,chr14,51543750,51545281,+,,
4930589L23Rik,chr3,79372651,79372906,+,,
Zswim6,chr13,108647022,108647814,+,,
Gpn3,chr5,122822347,122822540,+,,
Gbp3,chr3,142222170,142223845,+,,
1500011H22Rik,chr5,122822347,122822540,+,,
Ptger4,chr15,5366085,5366256,+,,
Slc2a6,chr2,26881159,26881305,+,,
Kcnip1,chr11,33832346,33833399,+,,
Galnt6,chr15,100563145,100563297,+,,
Akap13,chr7,82599268,82600913,+,,
Rap1b,chr10,117377599,117378737,+,,
Gm8369,chr19,11560088,11560974,+,,
Arid1b,chr17,4994285,4994645,+,,
Pttg1,chr11,43224922,43225063,+,,
Gch1,chr14,47784882,47785058,+,,
Picalm,chr7,97277878,97278388,+,,
2310010J17Rik,chr7,97277878,97278388,+,,
Actr2,chr11,20012252,20012478,+,,
Arid1a,chr4,133310230,133310384,+,,
Adora3,chr3,105694255,105698803,+,,
Gm9530,chr1,156897419,156897612,+,,
Cpsf2,chr12,103213897,103216059,+,,
Slc3a2,chr19,8786460,8786639,+,,
Gm15729,chr16,32113129,32114296,+,,
Gm12057,chr11,22759851,22760563,+,,
B3gnt2,chr11,22759851,22760563,+,,
9130230N09Rik,chr11,22759851,22760563,+,,
Commd1,chr11,22759851,22760563,+,,
Ube2q1,chr3,89577039,89577276,+,,
Ppp1r11,chr17,37088525,37088761,+,,
4632404H12Rik,chr3,89577039,89577276,+,,
Malt1,chr18,65589530,65590290,+,,
Gm5292,chr5,44338568,44341323,+,,
Sf3b1,chr1,55082679,55084411,+,,
Snora24,chr3,123210981,123212272,+,,
Lrpprc,chr17,85189285,85190742,+,,
Dock10,chr1,80661732,80662063,+,,
Cerk,chr15,86003707,86004254,+,,
2310037I24Rik,chr15,98342822,98344237,+,,
Ubac2,chr14,122408407,122409126,+,,
Prr5,chr15,84515845,84516507,+,,
Dtwd2,chr18,49943247,49944251,+,,
Fam178a,chr19,45005150,45005409,+,,
Laptm5,chr4,130455299,130456252,+,,
Tpt1,chr14,76244666,76245411,+,,
Snora31,chr14,76244666,76245411,+,,
Gm4285,chr14,76244666,76245411,+,,
Gm13375,chr2,20890664,20891098,+,,
Ercc1,chr7,19927447,19930991,+,,
Arhgap21,chr2,20890664,20891098,+,,
S1pr1,chr3,115415436,115418593,+,,
Gm9889,chr3,115415436,115418593,+,,
Rps27a,chr11,29448251,29448485,+,,
1700034F02Rik,chr11,29448251,29448485,+,,
Pdcd1lg2,chr19,29528190,29529584,+,,
Gm17245,chr8,108862915,108863065,+,,
Cxcr7,chr1,92077969,92078216,+,,
Foxk1,chr5,142843195,142843797,+,,
Ppp3cc,chr14,70683356,70683780,+,,
2610528E23Rik,chr16,57336679,57337478,+,,
Ranbp2,chr10,57908991,57910509,+,,
Tnfaip8,chr18,50173892,50176229,+,,
Atp6v1g3,chr1,140164339,140164536,+,,
Slco5a1,chr1,12981074,12982946,+,,
Pik3ap1,chr19,41458810,41460078,+,,
Ece2,chr16,20610480,20611886,+,,
Alg3,chr16,20610480,20611886,+,,
Fam105b,chr15,27554937,27555673,+,,
Gm10797,chr10,67097638,67097869,+,,
Nup160,chr2,90508012,90508363,+,,
Trappc5,chr8,3675847,3676895,+,,
Dido1,chr2,180436140,180437528,+,,
Nfatc2,chr2,168298299,168298684,+,,
Birc5,chr11,117709847,117710821,+,,
Arid5b,chr10,67702438,67704187,+,,
BC020535,chr2,152916360,152916971,+,,
U6,chr19,37540869,37541273,+,,
Rassf2,chr2,131854172,131855712,+,,
Gm4969,chr7,19705103,19705436,+,,
Fbxo46,chr7,19705103,19705436,+,,
Upb1,chr10,74895295,74896193,+,,
Rara,chr11,98820835,98821122,+,,
Cdyl2,chr8,119151548,119152338,+,,
1110038D17Rik,chr10,74895295,74896193,+,,
Dusp12,chr1,172826225,172827434,+,,
Fam134b,chr15,25825605,25827304,+,,
Arf6,chr12,70518603,70518989,+,,
Scd1,chr19,44460527,44464493,+,,
S100a10,chr3,93353865,93354060,+,,
Zfp317,chr9,19426409,19427168,+,,
Psmb10,chr8,108461827,108462233,+,,
Tfeb,chr17,47876417,47877141,+,,
Ptprj,chr2,90414378,90414538,+,,
Gm16156,chr8,108461827,108462233,+,,
Ell2,chr13,75844477,75845823,+,,
Ddx6,chr9,44373375,44374672,+,,
Lrmp,chr6,145051599,145053207,+,,
Ahnak,chr19,9058663,9059424,+,,
Dock10,chr1,80658140,80658926,+,,
Ren1,chr1,135244371,135245264,+,,
E130114P18Rik,chr4,97440838,97443895,+,,
Nfia,chr4,97440838,97443895,+,,
1110003E01Rik,chr5,65876869,65879189,+,,
SNORD86,chr14,57449339,57449940,+,,
Mmrn1,chr6,61017750,61018642,+,,
Qk,chr17,10512379,10513358,+,,
Arl8b,chr6,108728290,108728771,+,,
Psme3,chr11,101176887,101178167,+,,
Golga5,chr12,103707219,103707766,+,,
Gm15320,chr17,34535467,34536482,+,,
Fndc3b,chr3,27609367,27610497,+,,
BC051142,chr17,34535467,34536482,+,,
4632428N05Rik,chr10,59809630,59810100,+,,
Cdh23,chr10,59809630,59810100,+,,
Elk3,chr10,92823456,92823616,+,,
Rnf219,chr14,104921750,104921971,+,,
Lrig1,chr6,94710946,94711248,+,,
Rab6b,chr9,103010373,103012750,+,,
Lpp,chr16,24972657,24973410,+,,
Iglc2,chr16,19185163,19186156,+,,
Gm6225,chr18,3337399,3337691,+,,
Crem,chr18,3337399,3337691,+,,
Ddx5,chr11,106648492,106650375,+,,
Ccdc45,chr11,106648492,106650375,+,,
Zcchc7,chr4,44768353,44770211,+,,
Gm12463,chr4,44768353,44770211,+,,
Gimap6,chr6,48655447,48660403,+,,
Pcbp1,chr6,86474916,86478309,+,,
Gm16062,chr11,59623146,59623561,+,,
Flcn,chr11,59623146,59623561,+,,
1600020E01Rik,chr6,86474916,86478309,+,,
Rasgrp2,chr19,6398073,6400710,+,,
Pygm,chr19,6398073,6400710,+,,
Dmrt3,chr19,25680121,25682094,+,,
Ywhaz,chr15,36721228,36724784,+,,
Clic1,chr17,35188449,35188935,+,,
M6pr,chr6,122258395,122259490,+,,
Iqgap1,chr7,87924368,87924514,+,,
Galnt6,chr15,100536533,100537071,+,,
Nop58,chr1,59741148,59742228,+,,
Mlf1ip,chr8,47637041,47637330,+,,
Hipk2,chr6,38660598,38660658,+,,
Pik3ap1,chr19,41464990,41465929,+,,
Vim,chr2,13495018,13497530,+,,
Zfp335,chr2,164736308,164737484,+,,
Senp1,chr15,97923488,97924292,+,,
Pfkm,chr15,97923488,97924292,+,,
Gm11458,chr2,164736308,164737484,+,,
C1galt1,chr6,7795094,7795786,+,,
Rassf2,chr2,131848422,131849316,+,,
1700081L11Rik,chr11,104286297,104286666,+,,
Tardbp,chr4,148000170,148001029,+,,
Sypl,chr12,33639274,33640303,+,,
4933406C10Rik,chr12,33639274,33640303,+,,
2610002J02Rik,chr4,154623276,154624785,+,,
Mef2b,chr8,72682118,72683332,+,,
2310045N01Rik,chr8,72682118,72683332,+,,
Josd1,chr15,79517894,79518348,+,,
Gtpbp1,chr15,79517894,79518348,+,,
Dtnb,chr12,3571883,3573318,+,,
Btg1,chr10,96080132,96081676,+,,
Stoml1,chr9,58118942,58119542,+,,
Puf60,chr15,75910922,75911501,+,,
P4hb,chr11,120433970,120435423,+,,
Hyou1,chr9,44187357,44187419,+,,
Trim7,chr11,48654165,48657232,+,,
Gm16170,chr11,48654165,48657232,+,,
Id2,chr12,25840322,25840784,+,,
Gm14270,chr2,170079297,170080071,+,,
Rpl30-ps6,chr1,88383708,88384489,+,,
Runx1,chr16,92825440,92826926,+,,
Msl2,chr9,100977590,100980341,+,,
Gm17102,chr7,48648875,48649254,+,,
Gm16124,chr9,53474919,53475944,+,,
Csrnp1,chr9,119887297,119888389,+,,
Cass4,chr2,172218753,172219584,+,,
AI987944,chr7,48648875,48649254,+,,
Pik3ap1,chr19,41455759,41457730,+,,
Cul5,chr9,53474919,53475944,+,,
Apobec2,chr17,48565700,48567204,+,,
Antxr2,chr5,98445670,98446202,+,,
Tbl1xr1,chr3,21634304,21635033,+,,
Cd97,chr8,86262989,86265994,+,,
Timm9,chr12,72237508,72238013,+,,
Ogdh,chr11,6192103,6192429,+,,
Gsk3a,chr7,26022599,26024784,+,,
Camta1,chr4,151235916,151237071,+,,
2700049A03Rik,chr12,72237508,72238013,+,,
Susd1,chr4,59348738,59349431,+,,
7-Sep,chr9,25059428,25060372,+,,
Dbnl,chr11,5689594,5690423,+,,
Cd97,chr8,86261107,86262379,+,,
Map4k3,chr17,81171519,81172827,+,,
Tuba1c,chr15,98859792,98861503,+,,
BC005537,chr13,24892150,24893250,+,,
Tbpl1,chr10,22450778,22451498,+,,
SNORD83,chr17,35377733,35380149,+,,
Sart1,chr19,5389537,5389776,+,,
Lcor,chr19,41555555,41556923,+,,
Fubp1,chr3,151872267,151874026,+,,
Dos,chr10,79603922,79605339,+,,
Dnajb4,chr3,151872267,151874026,+,,
Ddx39b,chr17,35377733,35380149,+,,
Ikzf1,chr11,11591777,11592014,+,,
Atp5d,chr10,79603922,79605339,+,,
7SK,chr12,88174750,88175606,+,,
Wisp3,chr10,38890888,38892111,+,,
Ubc,chr5,125871331,125874496,+,,
Serbp1,chr6,67216549,67217140,+,,
Rps15a,chr7,125259581,125260045,+,,
Hsp90ab1,chr17,45709200,45711303,+,,
Gm12367,chr4,35172629,35173864,+,,
Dusp4,chr8,35867915,35869987,+,,
B330016D10Rik,chr4,141100936,141102503,+,,
Avl9,chr6,56664886,56665371,+,,
3110043O21Rik,chr4,35172629,35173864,+,,
Map3k14,chr11,103123691,103124048,+,,
U1,chr3,96302683,96306502,+,,
RP24-292K9.1,chr7,71205925,71206389,+,,
Vps16,chr2,130250093,130250459,+,,
Trak1,chr9,121206765,121209016,+,,
Spag7,chr11,70482410,70483874,+,,
Fam113a,chr2,130250093,130250459,+,,
Cfp,chrX,20508992,20509507,+,,
Ap4e1,chr2,126834054,126834533,+,,
Camta2,chr11,70482410,70483874,+,,
Ap1m2,chr9,21125019,21126541,+,,
Ap1m2,chr9,21121311,21121458,+,,
