GeneID,Chromosome,Peak_Start,Peak_End,Strand
Gm7308,chr6,127215087,127216609,+
Rnf145,chr11,44317584,44318936,+
Hivep3,chr4,119725628,119727152,+
Gm17627,chr5,123507386,123508935,+
Antxr2,chr5,98446987,98447539,+
Grasp,chr15,101076570,101077470,+
Zfp719,chr7,50834769,50835429,+
Tcof1,chr18,60989861,60991380,+
Il21r,chr7,132740532,132741364,+
Nup214,chr2,31829546,31830501,+
Gm11630,chr11,97744918,97745190,+
Fbxo47,chr11,97744918,97745190,+
Rap1b,chr10,117377599,117378737,+
Zfp511,chr7,147222029,147222548,+
U6,chr11,68886549,68887467,+
Tubgcp2,chr7,147222029,147222548,+
Taf1d,chr9,15110536,15111194,+
Snord118,chr11,68886549,68887467,+
Sh2b3,chr5,122286256,122286897,+
Prdm4,chr10,85379803,85380695,+
Oasl1,chr5,115371988,115372257,+
Myl12a,chr17,71351270,71351956,+
Mll5,chr5,22936287,22941970,+
Mknk1,chr4,115511260,115512064,+
Mettl17,chr14,52504282,52504849,+
Kif2c,chr4,116855112,116855328,+
Jun,chr4,94717765,94720698,+
Gmcl1,chr6,86682957,86683458,+
Gm16899,chr1,7386910,7388075,+
Gm12703,chr4,94717765,94720698,+
Gm12306,chr11,68886549,68887467,+
Chchd5,chr2,128955302,128955354,+
Ccdc88a,chr11,29273479,29273643,+
BC042782,chr4,94717765,94720698,+
Akirin2,chr4,34497448,34498022,+
Aasdh,chr5,77334381,77334559,+
5031425E22Rik,chr5,22936287,22941970,+
Tmem107,chr11,68886549,68887467,+
Rcsd1,chr1,167635466,167636856,+
Pik3cd,chr4,149038807,149039845,+
Pigv,chr4,133215250,133217322,+
Itpkb,chr1,182331978,182332200,+
Gm16724,chr17,71351270,71351956,+
Gm13822,chr5,115371988,115372257,+
Foxp1,chr6,99198163,99198914,+
Exoc2,chr13,30911953,30912304,+
Elf1,chr14,79914917,79915751,+
Ccdc88c,chr12,102243509,102244104,+
5031414D18Rik,chr14,75424298,75425585,+
Mef2c,chr13,83053679,83055251,+
Dusp4,chr8,35685582,35686167,+
U6,chr1,35917800,35917934,+
Gm9034,chr10,43459956,43460574,+
Gm15427,chr1,97347469,97348680,+
Dnajb12,chr10,59373216,59374518,+
Gadd45b,chr10,80402656,80402716,+
Parp8,chr13,117822523,117823402,+
2410024N13Rik,chr3,103010333,103010658,+
Sema7a,chr9,57814284,57815960,+
Gm20388,chr8,123225676,123226004,+
Bcat2,chr7,52847300,52847602,+
E030010A14Rik,chr19,24720447,24721716,+
Samsn1,chr16,75929356,75930752,+
Gm12057,chr11,22713313,22716279,+
Fgfr1op,chr17,8388552,8389082,+
Iglc2,chr16,19179399,19179654,+
Mob3a,chr10,80157665,80159645,+
Lrmp,chr6,145048869,145050472,+
Mapk6,chr9,75257850,75258083,+
4933433G15Rik,chr9,75257850,75258083,+
U1,chr11,87235778,87236873,+
Tex14,chr11,87235778,87236873,+
AC131596.1,chr10,95795533,95795723,+
AI427809,chr4,53290980,53291213,+
Tnfsf18,chr1,163430104,163431086,+
Sec24a,chr11,51569527,51570479,+
Itpr2,chr6,146219563,146219978,+
Hvcn1,chr5,122681069,122684230,+
Tbl1xr1,chr3,21834507,21835249,+
Il21r,chr7,132746445,132746875,+
Cd79b,chr11,106173807,106176502,+
Lat2,chr5,135089698,135090053,+
1700021K19Rik,chr16,32861397,32862850,+
A230028O05Rik,chr16,25052967,25053563,+
Pgap1,chr1,54641437,54643485,+
Trmt112,chr19,6984471,6984608,+
Tpr,chr1,152236546,152237316,+
Snora78,chr17,24856404,24857337,+
Snora64,chr17,24856404,24857337,+
Snhg9,chr17,24856404,24857337,+
Rnf151,chr17,24856404,24857337,+
Prdx5,chr19,6984471,6984608,+
Slfn2,chr11,82879991,82880999,+
Rps2,chr17,24856404,24857337,+
BC003331,chr1,152236546,152237316,+
4930597A21Rik,chr11,44388485,44388599,+
Malat1,chr19,5800085,5804406,+
B2m,chr2,121971797,121975683,+
Patl2,chr2,121971797,121975683,+
Iqsec1,chr6,90701322,90702620,+
Gm17591,chr12,81076120,81076370,+
Cmtm6,chr9,114661147,114661754,+
Specc1l,chr10,74685391,74685802,+
Gm16515,chr11,60726112,60727749,+
Cap1,chr4,122562818,122563197,+
Tnfrsf9,chr4,150288241,150288521,+
Park7,chr4,150288241,150288521,+
Ica1,chr6,8598767,8598958,+
Fhl3,chr4,124385809,124386723,+
D030054H15Rik,chr17,8085153,8086369,+
Asph,chr4,9557489,9558059,+
Mir23a,chr8,86721023,86723167,+
Ubc,chr5,125869301,125870900,+
Stim2,chr5,54386533,54386744,+
Gm10382,chr5,125869301,125870900,+
Dennd5a,chr7,117102589,117103099,+
Cops7a,chr6,124914989,124916402,+
Tmem189,chr2,167482136,167482867,+
Gm20431,chr2,167482136,167482867,+
Extl1,chr4,133918335,133918866,+
Atg5,chr10,44100047,44101155,+
2310037I24Rik,chr15,98342822,98344237,+
Slc25a19,chr11,115493895,115494343,+
Hc,chr2,34832702,34832960,+
Slc28a3,chr13,58653267,58653852,+
Nol12,chr15,78764920,78766173,+
Gm17296,chr8,128998530,128999253,+
Tomm20,chr8,129378131,129379032,+
Gm11932,chr4,32337775,32337919,+
Bach2,chr4,32337775,32337919,+
Stard7,chr2,127140300,127140429,+
Lgmn,chr12,103691411,103692541,+
SNORA17,chr3,133245960,133246162,+
Dusp4,chr8,35818444,35819653,+
Cnpy3,chr17,46888436,46888681,+
Gm16736,chr17,46888436,46888681,+
Srd5a3,chr5,76569527,76569714,+
Edem1,chr6,108785658,108786563,+
Thap6,chr5,92391009,92391494,+
Rchy1,chr5,92391009,92391494,+
Gm15710,chr5,92391009,92391494,+
Etv6,chr6,134212232,134212348,+
Mnd1,chr3,83873135,83873718,+
Foxp1,chr6,99002962,99004304,+
Selplg,chr5,114264437,114264657,+
Gbp3,chr3,142222170,142223845,+
N4bp1,chr8,89380116,89380942,+
Susd6,chr12,81893943,81894101,+
4933411E08Rik,chr10,117346474,117348187,+
Flnb,chr14,8606331,8607084,+
Usp20,chr2,30891276,30892989,+
Zic2,chr14,122884558,122891656,+
Endov,chr11,119352384,119353216,+
Mir7655,chr2,17978507,17979254,+
4930459C07Rik,chr10,95727853,95730114,+
Rpl34,chr3,130513031,130513387,+
Gm2447,chr3,52442890,52443003,+
Dyrk2,chr10,118241773,118241942,+
Atf3,chr1,193017117,193018031,+
Ago2,chr15,72992561,72992943,+
Mir142,chr11,87561864,87566371,+
9130015A21Rik,chr12,36395931,36397651,+
Tmem260,chr14,49065555,49065929,+
4930529L06Rik,chr16,84606536,84606655,+
Sec22c,chr9,121584201,121584406,+
Marcks,chr10,37058085,37058282,+
Ccr6,chr17,8402581,8403787,+
Ezr,chr17,7031064,7033718,+
8430431K14Rik,chr19,31298451,31298906,+
Ptpa,chr2,30296555,30298355,+
Gm15706,chr6,145224379,145225685,+
Milr1,chr11,106623522,106624673,+
Gm6936,chr16,49970606,49970898,+
Fem1a,chr17,56405747,56406134,+
Snord93,chr5,23380375,23380596,+
4930459C07Rik,chr10,95863433,95863721,+
Irf8,chr8,123321195,123321666,+
Stard5,chr7,90807936,90808305,+
Wrap73,chr4,153514266,153516617,+
Tex35,chr1,158957952,158958103,+
D030024E09Rik,chr15,61271872,61274641,+
Fez2,chr17,78761709,78762124,+
Chsy1,chr7,73330082,73330541,+
Wdr26,chr1,183160674,183161328,+
Ifna1,chr4,88510227,88511027,+
Sf3a3,chr4,124387118,124387635,+
3300005D01Rik,chr17,5804381,5804644,+
Gm6260,chr3,143336995,143338524,+
Mir6367,chr16,91521957,91524729,+
Pcmtd1,chr1,7386910,7388075,+
Gucd1,chr10,74979486,74981106,+
Gm17746,chr12,25840322,25840784,+
Ccnl1,chr3,65881910,65882349,+
Adgrd1,chr5,129583350,129583764,+
Coq8a,chr1,182129483,182129856,+
Mir5098,chr5,77718390,77719200,+
Uts2b,chr16,27348918,27349698,+
Mirt1,chr19,53508542,53508803,+
E230013L22Rik,chr8,11464035,11464184,+
1700064M15Rik,chr12,100848585,100849261,+
Cyfip2,chr11,46157159,46158111,+
Urad,chr5,148163531,148163969,+
3300005D01Rik,chr17,5802650,5803526,+
Agfg1,chr1,82827818,82830194,+
Incenp,chr19,10010463,10014626,+
Mir3961,chr13,83179728,83181074,+
Gpr18,chr14,122327639,122329115,+
Zfp729b,chr13,67710007,67710982,+
4933411E08Rik,chr10,117377599,117378737,+
Bcl2l11,chr2,128028935,128030085,+
Mir155hg,chr16,84713034,84713568,+
Mir7661,chr6,108502229,108504617,+
Bcas2,chr3,103010333,103010658,+
1700056E22Rik,chr1,185803804,185803848,+
Hira,chr16,19010454,19011651,+
6430531B16Rik,chr7,147154277,147155037,+
H3f3a,chr1,182756849,182758057,+
Mir21a,chr11,86437870,86438074,+
Zfp984,chr4,147182615,147182826,+
H2afy3,chr15,62000616,62001552,+
Natd1,chr11,60726112,60727749,+
F2rl2,chr13,96455879,96455967,+
Atf7ip,chr6,136432454,136433792,+
Gm16157,chr7,75432730,75433033,+
9430078K24Rik,chr12,81102740,81102971,+
B930092H01Rik,chr9,61089957,61091660,+
Arid1a,chr4,133360222,133361321,+
Bmt2,chr6,13641659,13641926,+
9430078K24Rik,chr12,80734476,80734740,+
Mpc2,chr1,167390474,167391736,+
Wfdc21,chr11,83559613,83560201,+
Kmt5b,chr19,3767385,3769388,+
Ccnd2,chr6,127105218,127106938,+
Ccdc124,chr8,73389388,73390030,+
Nr4a1,chr15,101076570,101077470,+
4930529L06Rik,chr16,84585442,84585516,+
Chst15,chr7,139557370,139557839,+
Supt4a,chr11,87558471,87558661,+
Cxcr4,chr1,130601783,130601979,+
Mir3961,chr13,83203201,83205773,+
9430078K24Rik,chr12,80746972,80748159,+
1810026B05Rik,chr7,80751770,80752153,+
Fbxo4,chr15,3932698,3933026,+
Jade2,chr11,51647062,51647170,+
Olfr164,chr16,19179399,19179654,+
Fbrs,chr7,134621478,134622463,+
B930092H01Rik,chr9,61070122,61070375,+
Ctdsp1,chr1,74433045,74434639,+
Mir146,chr11,43197985,43199277,+
Hspa8,chr9,40551899,40552162,+
0610005C13Rik,chr7,52847300,52847602,+
Tgfbr1,chr4,47316123,47316911,+
Bin1,chr18,32471410,32471528,+
Adam6b,chr12,114665684,114665894,+
Smim3,chr18,60658846,60660637,+
Olfr164,chr16,19152815,19153360,+
Foxj2,chr6,122759766,122762118,+
Htra4,chr8,26177660,26179189,+
Bach2os,chr4,32651392,32652260,+
1700029N11Rik,chr13,44633736,44633836,+
Mir467h,chr9,115398284,115398643,+
Lao1,chr4,118672116,118672455,+
Mllt6,chr11,97520501,97521247,+
Matn4,chr2,164248087,164248484,+
Mir5118,chr16,55636812,55637347,+
Eif2a,chr3,58319916,58322825,+
Mirt1,chr19,53553544,53554610,+
Fam213a,chr14,41812697,41813930,+
Pdcd4,chr19,53943837,53946619,+
Gm21057,chr7,87219505,87220321,+
Nrros,chr16,32163096,32165719,+
Mettl18,chr1,165924704,165925439,+
Dad1,chr14,54841281,54844944,+
4930529L06Rik,chr16,84621397,84622321,+
Rnu11,chr4,131824928,131826713,+
Mfsd2a,chr4,122609359,122611655,+
Rmrp,chr4,43505722,43505817,+
Pik3r6,chr11,68311647,68313072,+
4933407G14Rik,chr10,74908075,74909618,+
Gm17745,chr10,92823456,92823616,+
1810026B05Rik,chr7,80761955,80764403,+
Supt4a,chr11,87550768,87551769,+
D6Ertd527e,chr6,87102624,87104039,+
Lrrc32,chr7,105683029,105683233,+
Bcl2l11,chr2,127834423,127835032,+
Gcg,chr2,62297349,62299248,+
1700056E22Rik,chr1,185627181,185627563,+
Irf8,chr8,123284108,123285259,+
Gm20098,chr17,52301367,52303817,+
5430427O19Rik,chrX,83084545,83084852,+
5730488B01Rik,chr4,44684057,44684178,+
4933431G14Rik,chr6,72089639,72091301,+
Lyst,chr13,13616089,13616805,+
Iah1,chr12,21341437,21342305,+
Dgkd,chr1,89743609,89744077,+
1700122O11Rik,chr17,48176291,48177306,+
Tyk2,chr9,20939987,20941274,+
44085,chr5,93565634,93566341,+
Susd6,chr12,81891485,81892529,+
Slc25a33,chr4,149229645,149231308,+
Rubcn,chr16,32861397,32862850,+
Axdnd1,chr1,158367363,158367853,+
Mir6934,chr11,118995166,118995291,+
Il21r,chr7,132732130,132732701,+
1700072O05Rik,chr6,120517041,120517951,+
Mir7681,chr1,53907976,53908714,+
Sf3a3,chr4,124385809,124386723,+
Lta,chr17,35354721,35357514,+
1700012D01Rik,chr10,127104040,127106053,+
Cers6,chr2,68711107,68711554,+
Gpr18,chr14,122337674,122337983,+
9430078K24Rik,chr12,81076120,81076370,+
Pcdh9,chr14,94941066,94941627,+
1110028F11Rik,chr11,87503843,87504097,+
Mir3961,chr13,83053679,83055251,+
Zp3r,chr1,132447395,132447862,+
Irs2,chr8,11096962,11099506,+
Etv3,chr3,87291947,87292124,+
Ccdc68,chr18,69804276,69804476,+
Mir5118,chr16,55589363,55589820,+
Slc45a1,chr4,149939885,149940491,+
Mir22hg,chr11,75273352,75275145,+
Tmem266,chr9,55173818,55175521,+
Mir155hg,chr16,84703146,84703741,+
Ccni,chr5,93580901,93582100,+
Wdr26,chr1,183167557,183167803,+
Bcl2l14,chr6,134212232,134212348,+
B930018H19Rik,chr8,35685582,35686167,+
Cox4i1,chr8,123225676,123226004,+
Mir1a-2,chr18,10918350,10918642,+
Lncpint,chr6,31119498,31119605,+
Med13l,chr5,118927807,118928117,+
2010308F09Rik,chrX,12785060,12785454,+
Morn3,chr5,123507386,123508935,+
Cilp2,chr8,72390696,72391330,+
Epg5,chr18,78134725,78136055,+
Mir7117,chr15,27525548,27527780,+
Bach1,chr16,87653113,87653521,+
Adrb2,chr18,62323390,62324103,+
Mir5129,chr2,44812663,44812952,+
Slc26a1,chr5,109097513,109098394,+
Zfp36l1,chr12,81170230,81170402,+
Utp14b,chr1,78699506,78699859,+
Mir1195,chr17,71236060,71236281,+
Mirt1,chr19,53539293,53539418,+
D730005E14Rik,chr15,79721613,79727377,+
Hs6st1,chr1,35917800,35917934,+
Gorasp2,chr2,70466969,70468432,+
Psd2,chr18,36086494,36088107,+
Zfp691,chr4,118854127,118854760,+
8430423G03Rik,chr5,149770692,149770902,+
Ubald2,chr11,116284430,116286081,+
Gm38404,chr6,127215087,127216609,+
Cenpu,chr8,47637041,47637330,+
Egr3,chr14,70456850,70457280,+
1700064M15Rik,chr12,100878598,100879396,+
Herpud1,chr8,96889171,96890210,+
Saraf,chr8,35217545,35217726,+
Crebrf,chr17,26852323,26852627,+
Tspear,chr10,77136458,77137727,+
Bcl2l14,chr6,134170337,134170545,+
1700029N11Rik,chr13,44613590,44613852,+
Amer2,chr14,61062692,61063545,+
8430431K14Rik,chr19,31412495,31412609,+
Atg16l2,chr7,108362367,108362566,+
B930018H19Rik,chr8,35734014,35734607,+
4931406C07Rik,chr9,15110536,15111194,+
Dusp2,chr2,127140300,127140429,+
H2afy3,chr15,62011743,62013711,+
Smndc1,chr19,53496879,53500849,+
Tmem119,chr5,114264437,114264657,+
D030024E09Rik,chr15,61370659,61370804,+
Spag6,chr2,18616557,18623237,+
Tarbp1,chr8,128998530,128999253,+
Ctso,chr3,81729848,81730004,+
Timm21,chr18,85120210,85121573,+
Tatdn2,chr6,113618799,113618856,+
H2afy3,chr15,62097053,62097314,+
4833419F23Rik,chr18,4353371,4353525,+
Nfatc3,chr8,108576510,108576620,+
9430078K24Rik,chr12,80727011,80727574,+
Tmem252,chr19,24720447,24721716,+
Gm13547,chr2,29554090,29554388,+
5430437J10Rik,chr15,5395772,5397327,+
B3gnt2,chr11,22592660,22593529,+
Mir7008,chr3,30960185,30960584,+
Mir7009,chr3,36373956,36375081,+
Lncpint,chr6,31167450,31169706,+
4930459C07Rik,chr10,95795533,95795723,+
4921525O09Rik,chr13,52179072,52179814,+
Ado,chr10,67097638,67097869,+
Rubcnl,chr14,75417643,75418235,+
Mir3089,chr2,30567607,30567773,+
Ngly1,chr14,17005505,17006249,+
Ankrd13d,chr19,4294087,4295184,+
Kcns2,chr15,34862935,34863041,+
Elmsan1,chr12,85543443,85544036,+
D6Ertd527e,chr6,87024749,87026093,+
Tet2,chr3,133245960,133246162,+
Tmem243,chr5,9101101,9101697,+
Spdl1,chr11,34646887,34647334,+
Slc4a3,chr1,75562135,75562472,+
Slc25a19,chr11,115502524,115502931,+
Cmah,chr13,24577582,24580740,+
Rasgef1b,chr5,99763902,99766648,+
Nfkbiz,chr16,55698604,55698979,+
Gm2447,chr3,52558944,52559134,+
Psd2,chr18,36077781,36080587,+
Wfdc21,chr11,83550658,83551807,+
Cd83,chr13,43993951,43994222,+
Traf1,chr2,34832702,34832960,+
Gm11201,chr11,78890089,78890285,+
4933432I03Rik,chr14,103436421,103436557,+
Pgghg,chr7,148126577,148128716,+
Mir7661,chr6,108498290,108501043,+
Grhpr,chr4,44982699,44984100,+
Adgrl2,chr3,148357884,148359933,+
Traf3,chr12,112398251,112398518,+
Rubcnl,chr14,75424298,75425585,+
Slc22a27,chr19,8094495,8094816,+
Gm15326,chr13,112726320,112726878,+
Klf12,chr14,100610403,100610681,+
Fam174a,chr1,97347469,97348680,+
Zbtb17,chr4,141033563,141033988,+
Mir3569,chr7,31374540,31374672,+
A530013C23Rik,chr2,167579374,167579857,+
Rad9a,chr19,4201183,4201999,+
Tagap,chr17,8085153,8086369,+
A430035B10Rik,chr6,8434545,8436064,+
1700122C19Rik,chr19,37568398,37571765,+
Hist1h4h,chr13,23618196,23618458,+
Pigr,chr1,132716818,132717880,+
Kif1bp,chr10,62005968,62006798,+
Map4k1,chr7,29791670,29793555,+
Gm8817,chrX,163557234,163557474,+
Bend5,chr4,111072533,111072666,+
Stoml1,chr9,58122551,58123589,+
Nrros,chr16,32171164,32171393,+
Pim1,chr17,29614299,29614810,+
Gm20110,chr10,98922491,98924633,+
Mir1929,chr10,44100047,44101155,+
Cish,chr9,107215205,107215686,+
Gm6607,chr9,22128816,22129465,+
Mir5130,chr14,103305529,103307368,+
4921509O07Rik,chr13,114168630,114169604,+
Mir467h,chr9,115520686,115521389,+
Dach2,chrX,110981503,110981775,+
Gm2848,chr13,52667784,52668651,+
Particl,chr6,72387833,72389697,+
Sema6a,chr18,47324991,47325384,+
Meis1,chr11,18772466,18777571,+
Gm5083,chr13,44057536,44057597,+
Irf4,chr13,30884100,30884487,+
Vps54,chr11,21080197,21081124,+
Psd2,chr18,36090008,36090216,+
Ado,chr10,67120874,67121302,+
4930529L06Rik,chr16,84583248,84584436,+
Cxcr4,chr1,130663587,130664070,+
2900060B14Rik,chr1,120350238,120350441,+
Yae1d1,chr13,18067679,18067975,+
E030030I06Rik,chr10,21872187,21872621,+
4930459C07Rik,chr10,95837055,95837423,+
Eef1a1,chr9,78375152,78375536,+
Gm5069,chr1,182331978,182332200,+
Atf3,chr1,193047860,193050119,+
4930459C07Rik,chr10,95833137,95835253,+
Mir34a,chr4,149433626,149434396,+
Parp16,chr9,65048506,65050076,+
Prr14l,chr5,33196812,33197273,+
Rfpl4,chr7,5052713,5053583,+
Kmt2d,chr15,98701438,98703134,+
Snora34,chr15,98342822,98344237,+
Gm17745,chr10,92827740,92828020,+
Nfatc3,chr8,108578158,108578458,+
2900009J06Rik,chr1,129670321,129670954,+
Gm17745,chr10,92816257,92817168,+
Mir1190,chr12,102243509,102244104,+
Washc2,chr6,116157668,116158496,+
Ccdc174,chr6,91827908,91828059,+
Oser1,chr2,163245389,163245690,+
Irf2bpl,chr12,88160224,88160424,+
Sirt4,chr5,115938041,115940923,+
5430437J10Rik,chr15,5364570,5364714,+
4930567H12Rik,chr8,128082744,128083002,+
B3gnt2,chr11,22713313,22716279,+
1700027J07Rik,chr10,43459956,43460574,+
Mir6906,chr10,59628934,59632836,+
Irf4,chr13,30911953,30912304,+
Rnf19b,chr4,128710019,128710583,+
Dad1,chr14,54847086,54847695,+
Tmem121,chr12,114466574,114466668,+
Mir6944,chr13,55572795,55573172,+
Gm34637,chr12,12587547,12587660,+
Lyrm7os,chr11,54620784,54622217,+
A630066F11Rik,chr10,7382004,7383687,+
Pkdcc,chr17,83675593,83678886,+
Adgre1,chr17,57486452,57486729,+
2610306M01Rik,chr6,86798714,86799480,+
Jun,chr4,94945191,94945488,+
D930015E06Rik,chr3,83873135,83873718,+
D030024E09Rik,chr15,61378091,61378750,+
Heg1,chr16,33606798,33607503,+
Gm2176,chr18,80807975,80808788,+
Ube2e3,chr2,78896136,78896564,+
Tcf12,chr9,71980771,71981519,+
Mir467h,chr9,115526751,115526998,+
Hira,chr16,19007272,19007852,+
Gpx4,chr10,79537532,79538399,+
Gm38404,chr6,127189037,127191187,+
Elob,chr17,23966233,23966423,+
Ggta1,chr2,35351581,35351753,+
Edn2,chr4,119725628,119727152,+
Foxd2,chr4,114573443,114575037,+
Mir7086,chr9,45054262,45054474,+
1810026B05Rik,chr7,80717461,80717600,+
Il6st,chr13,113188345,113188654,+
5031425E22Rik,chr5,22891290,22893547,+
